id,age,gender,lnincm,lnfincm,isco08,manage,dwtype,tizhi,party,hukou,wide,nwtop,edu,listening,speaking,book,newsp,eread,isei08,siops08,ht,wt,rd1,rd2,rd3
2092,28,1,6.7266331,7.8244457,2641,3,10,0,0,1,1,48,16,3,3,.16666667,.02739726,4.6666665,72.830002,56.919998,175,150,.59659445,1.4284388,1.342193
3925,36,0,8.1120281,9.0281391,9111,3,9,0,0,0,9,85,9,1,1,0,0,1,16.379999,20,158,114,.49319407,1.9247223,4.2075849
2119,81,0,7.6014023,7.6014023,8153,3,4,1,0,1,1,69,6,1,1,0,1,0,13.24,27.860001,156,110,.94250482,1.8513852,8.7233028
12603,64,0,4.3307333,7.4191809,9210,3,11,0,0,0,1,29,0,1,1,0,0,0,11.74,22.16,155,114,.011900553,1.6699578,5.6712341
13613,26,0,6.7266331,7.4191809,5141,2,9,0,0,0,4,69,9,1,1,0,0,5,31.08,32,160,120,.48867968,1.8248739,8.1403608
5405,31,0,0,10.532123,5223,3,6,0,0,1,10,85,12,2,2,.083333336,0,4,28.48,42.779999,163,160,.79745233,1.3121083,4.2976503
8685,71,1,5.5254531,5.5254531,6100,3,9,0,0,0,0,0,9,1,1,.25,.0082191778,0,19.41,43.529999,178,120,.33818233,1.4038535,3.2764704
5729,59,1,8.0067005,8.0067005,8343,2,3,1,0,1,0,0,12,1,1,0,0,0,24.799999,32.389999,170,118,.053405888,1.2954725,1.2468351
5397,27,0,8.3351116,9.7212257,2163,3,3,1,0,1,9,85,16,3,3,.16666667,.0027397261,2,79.739998,63.189999,160,96,.12669733,1.3730928,3.0885401
8896,48,0,4.6555462,7.9785395,9210,3,11,0,0,0,0,0,0,1,1,0,0,0,11.74,22.16,156,130,.21319909,1.2467759,5.9665504
6779,41,0,0,8.3351116,8142,3,6,0,0,1,6,69,9,1,1,.083333336,1,1,24.85,29.299999,158,104,.27228028,1.1373396,7.1029372
10691,35,0,8.5173931,9.2104406,7310,3,6,0,0,0,8,85,9,1,1,2.5,.08219178,2,30.35,35.060001,165,120,.45890722,1.3387123,3.1993678
3952,59,0,6.7266331,7.8244457,5131,3,9,0,0,0,1,40,12,1,1,0,0,.083333336,25.040001,21.67,160,127,.75389236,1.8258241,.42406759
4072,57,1,8.6715155,8.6715155,5221,3,9,0,0,1,8,85,9,1,1,0,0,0,35.34,48,172,150,.42240748,1.8825731,6.2055211
6180,57,0,6.7266331,9.4335642,4311,2,4,1,0,1,8,85,12,2,2,.083333336,.82191783,1,50.369999,34,162,125,.14980045,1.2800859,9.355834
11719,53,0,5.1219778,8.3351116,9210,3,11,0,0,0,0,0,6,1,1,0,0,0,11.74,22.16,160,120,.48958617,1.5205715,6.3524394
9225,72,0,4.3944492,7.4191809,9210,3,11,0,0,0,1,43,6,1,1,0,0,0,11.74,22.16,152,102,.76068926,1.8288655,3.5771186
9302,65,1,7.4191809,7.8244457,2149,2,2,1,0,1,0,0,9,2,1,0,0,0,78.690002,55,170,125,.069552831,1.5900842,.83399361
12057,41,1,8.5173931,8.8050251,5221,3,9,0,0,0,3,85,12,1,1,0,0,3,35.34,48,165,120,.91426915,1.7469378,5.1166835
4119,68,0,3.9318256,7.8244457,9200,3,12,0,0,0,0,0,0,1,1,0,0,0,11.87,22.280001,165,110,.52082169,1.2799649,6.8912792
345,40,0,9.0281391,9.4335642,1221,2,6,0,0,1,8,69,16,3,2,4.1666665,.02739726,2,71.389999,52,160,120,.3459006,1.0730655,3.3442326
8513,66,1,7.8244457,9.0281391,4110,2,3,1,0,1,2,29,9,1,1,0,.1369863,0,43.330002,42.09,178,168,.42213422,1.0503495,.81418896
8124,55,1,7.4191809,7.8244457,9210,3,11,0,0,0,8,69,9,1,1,0,0,0,11.74,22.16,165,120,.72174311,1.8600472,3.4719515
8851,77,1,5.3439279,5.3033047,9311,3,9,0,1,0,1,48,9,1,1,1,.021917809,0,15.35,18.02,160,130,.77079737,1.6618682,2.4473069
4770,39,0,7.6014023,9.2904749,8152,3,3,1,0,1,2,85,6,2,2,1.25,.01369863,1,18.030001,30.200001,153,110,.97314674,1.3976127,2.1283326
5368,67,0,8.1660738,9.510519,2342,3,4,1,0,1,3,69,9,1,1,.33333334,1,0,58.77,49,156,100,.47361153,1.9147656,6.8514614
1821,47,1,8.3351116,8.9227915,5221,3,9,0,0,1,6,69,14,2,2,.33333334,1,.083333336,35.34,48,170,140,.21791287,1.1695735,6.1525803
8914,75,0,0,8.5173931,9200,3,12,0,0,0,0,0,0,1,1,0,0,0,11.87,22.280001,155,115,.76293814,1.2495719,6.2425508
5954,47,1,7.4191809,8.1120281,5221,3,9,0,0,1,7,85,9,1,1,0,.05479452,.5,35.34,48,160,94,.54110831,1.6854541,2.0387468
4449,70,0,7.6014023,8.2943001,5169,3,3,1,0,1,4,48,9,1,1,0,0,0,32.75,22.9,158,120,.62250626,1.5598137,7.1270986
7326,43,1,7.8244457,8.3351116,8332,3,9,0,0,0,2,40,9,1,1,0,0,0,25.950001,33,175,136,.72330648,1.2710638,1.9124681
10622,47,0,8.5974207,9.2904749,3359,2,1,1,1,1,10,85,18,2,2,.83333331,.82191783,2,64.400002,54.639999,180,192,.34634447,1.7096862,9.6865253
11613,62,1,7.5913572,9.9443579,7530,3,3,1,0,0,3,69,9,1,1,0,0,0,22.030001,32.23,165,120,.17861275,1.8215364,7.1130157
2070,77,0,8.0067005,9.2104406,7543,3,3,1,0,1,1,34,9,1,1,0,1,0,43.189999,38.810001,154,90,.70605886,1.8211846,3.9576225
2820,56,1,7.4191809,7.8244457,8112,3,6,0,0,0,7,69,9,1,1,0,0,0,25.110001,32,170,140,.66097242,1.8816869,6.6315432
4370,41,0,8.1120281,8.3351116,7531,3,9,0,0,0,3,40,9,1,1,0,0,0,23.469999,38.57,158,115,.4863354,1.1757294,5.3093338
3894,41,1,7.8244457,8.3351116,5222,2,3,1,1,1,6,85,14,2,2,1.25,1,2,44.139999,42.779999,172,120,.05004603,1.5548401,9.5927048
666,64,0,7.71913,8.6715155,4311,2,3,1,1,1,3,69,9,2,1,.41666666,1,2,50.369999,34,169,120,.56128144,1.3128442,9.4303503
11879,73,1,6.9087548,7.3138866,9210,3,11,0,0,0,0,0,9,1,1,.33333334,0,0,11.74,22.16,156,90,.17294185,1.6358558,4.3837657
5465,66,1,7.6422043,9.2104406,8182,3,3,1,0,1,0,0,9,1,1,0,0,0,23.190001,25,163,120,.95996797,1.2142454,2.2825642
13740,53,1,6.7274318,6.7266331,9629,3,9,0,1,0,3,69,9,1,1,1.25,0,1,27.91,24,170,137,.0859458,1.1701987,8.222559
7209,59,0,0,8.8050251,9210,3,11,0,0,0,10,85,0,1,1,0,0,0,11.74,22.16,160,110,.011148114,1.2285147,5.3272209
13204,53,0,8.8050251,9.9035378,4110,2,6,0,0,0,10,85,12,3,3,.25,.010958904,1,43.330002,42.09,165,98,.068400607,1.4345926,9.893609
12606,49,1,2.2335923,4.4347773,9210,3,11,0,0,0,5,69,6,1,1,0,0,0,11.74,22.16,160,110,.046778794,1.346312,5.0995846
4550,68,1,4.6151204,5.5897422,9200,3,12,0,0,0,1,69,12,1,1,0,0,0,11.87,22.280001,175,120,.2137392,1.1016376,2.6636961
12167,64,1,6.3704715,6.3704715,9210,3,11,0,0,0,1,50,6,1,1,0,0,0,11.74,22.16,148,115,.75865716,1.7837555,6.0495
12729,67,1,6.2166061,7.4191809,9200,3,12,0,0,0,4,85,6,1,1,0,0,0,11.87,22.280001,170,120,.741189,1.9671332,1.6482286
7871,40,0,5.1219778,7.6814065,9210,3,11,0,0,0,5,69,6,1,1,0,0,0,11.74,22.16,153,90,.76701796,1.6564441,.083646558
9068,81,1,5.0172796,7.4191809,9200,3,12,0,0,0,0,0,6,1,1,0,0,0,11.87,22.280001,170,110,.8571074,1.2829995,1.1509013
9397,63,0,6.0346837,6.3704715,9210,3,11,0,0,0,3,69,0,1,1,0,0,0,11.74,22.16,160,120,.300962,1.0053222,8.7760353
9061,28,1,7.8244457,8.3351116,7522,2,6,0,0,0,1,34,6,1,1,0,0,2,25.23,39.990002,174,156,.10456869,1.4943449,3.1099107
4807,61,1,8.5173931,9.2104406,1321,2,6,0,1,1,3,69,12,1,1,0,0,1,65.419998,64,171,160,.090466306,1.7146672,6.1115065
104,66,0,6.7266331,9.0281391,4321,3,3,1,1,1,8,69,12,1,1,.83333331,0,.5,32.5,30.280001,160,100,.10096218,1.3037466,1.3611478
14332,48,1,7.9785395,7.9785395,7120,3,9,0,0,0,5,69,12,2,1,.16666667,.0054794522,.5,25.26,32.27,175,120,.33615032,1.8475385,6.0047593
4677,55,0,6.5037889,7.1316986,8331,3,6,0,0,1,5,69,9,2,1,0,0,.16666667,26.85,32,165,108,.64946669,1.2241485,7.4830942
8570,55,1,0,7.9785395,7212,3,6,0,0,1,0,0,9,2,2,4.5833335,0,4,28.52,39,177,150,.15192999,1.0139903,6.3830314
9206,42,1,9.7212257,9.7212257,5221,1,9,0,0,1,2,69,12,2,1,0,0,2,35.34,48,170,150,.72711813,1.3847474,3.7747977
7581,37,0,9.7212257,9.7212257,5240,3,9,0,0,1,7,69,14,3,3,.58333331,.0054794522,.66666669,39.040001,24.09,150,120,.97243029,1.8407465,7.2214394
13013,35,0,8.3351116,8.8050251,3359,3,2,1,1,1,0,0,16,2,2,.25,.08219178,1.6666666,64.400002,54.639999,162,100,.86158222,1.8556635,2.0822301
11004,57,0,8.3351116,9.7212257,5221,1,9,0,0,1,6,69,6,1,1,.33333334,.076712325,.25,35.34,48,160,100,.040877737,1.7706255,7.9322648
12139,65,0,0,0,9200,3,12,0,0,0,2,69,6,1,1,0,0,0,11.87,22.280001,156,105,.59813398,1.3087138,5.4650068
13834,57,0,7.4191809,8.1120281,9210,3,11,0,0,0,1,43,6,1,1,0,0,.5,11.74,22.16,165,120,.21445283,1.6797076,6.3881903
702,36,0,8.1120281,9.0281391,2341,2,8,0,1,1,8,85,18,2,2,3.75,.016438356,2,76.489998,57,163,110,.1966282,1.0171214,5.2465611
10634,30,0,0,8.3351116,9321,3,6,0,0,1,4,50,0,1,1,.41666666,.41095892,1,17.549999,22,165,120,.91030884,1.0659018,.65906382
9772,54,0,7.6422043,7.9785395,9210,3,11,0,0,0,2,48,9,1,1,0,0,0,11.74,22.16,165,140,.12716357,1.9847919,4.5383282
4281,54,0,0,7.4191809,9200,3,12,0,0,0,1,69,9,1,1,0,.019178081,.16666667,11.87,22.280001,156,109,.057241369,1.3408716,7.6576328
6512,60,1,9.148571,9.7212257,3355,3,1,1,1,1,5,85,14,3,3,0,0,0,63.029999,54.639999,178,148,.49922061,1.4668022,4.9899416
10822,47,1,7.4191809,7.4191809,9313,3,9,0,0,0,1,34,6,1,1,0,0,0,15.35,15,165,120,.92437536,1.4503186,4.8825049
12379,45,1,7.4191809,8.3351116,3359,2,1,1,0,1,10,85,9,2,2,.41666666,.0082191778,.5,64.400002,54.639999,165,130,.88286597,1.3581266,1.0705909
9047,29,1,7.4191809,8.3351116,4110,3,10,0,1,0,5,69,12,2,2,.083333336,0,3,43.330002,42.09,178,200,.88807827,1.0060643,7.6113367
1973,33,0,7.8244457,9.4335642,4411,3,10,0,0,1,6,85,16,3,3,1.25,.0082191778,8,42.299999,36,168,110,.3327826,1.4113458,5.9542742
3764,46,1,7.9785395,8.1120281,9210,3,11,0,0,0,2,40,6,1,1,.25,0,2,11.74,22.16,175,135,.72520506,1.788756,2.8063431
9636,28,1,7.8244457,8.2297773,9333,3,6,0,0,0,6,50,12,1,1,0,.02739726,2,17.690001,20.299999,167,116,.063625328,1.8145868,4.5585141
12795,88,0,0,8.6126852,9629,3,6,0,0,1,0,0,6,1,1,0,.04109589,0,27.91,24,153,110,.62606812,1.5174481,.53616166
4088,30,1,0,6.6858611,9112,3,6,0,0,1,0,0,6,1,1,0,0,1,14.21,20,170,104,.1058377,1.0762068,3.8344519
265,32,0,9.2104406,9.2104406,5141,3,9,0,0,1,5,69,12,2,2,1.25,.15342465,10,31.08,32,160,47,.39833164,1.6874974,9.0900211
14050,50,0,0,8.3351116,9200,3,12,0,0,0,2,69,12,1,1,.25,0,1,11.87,22.280001,157,92,.87146527,1.891416,6.570344
8799,35,0,7.71913,8.8050251,5141,3,9,0,0,0,1,29,6,1,1,0,0,.66666669,31.08,32,159,128,.94241655,1.0500927,.70151627
6884,36,0,7.8244457,9.0281391,5223,3,6,0,0,1,9,69,9,2,1,0,0,.66666669,28.48,42.779999,165,120,.98956817,1.9119692,7.1375656
9404,40,0,7.8244457,8.6715155,5230,3,9,0,0,0,2,69,12,3,3,4.1666665,.06849315,3,30.9,32.16,160,110,.47355154,1.4809674,3.7987528
2030,78,0,7.4191809,8.5173931,9612,3,5,0,0,1,4,69,12,1,1,0,0,0,14.39,13,165,100,.23160402,1.0755237,1.9350998
14001,43,1,5.5254531,7.8244457,5120,3,1,1,0,0,6,69,9,1,1,0,0,1.5,24.530001,30.98,173,140,.30883098,1.2473854,2.2132077
14544,54,1,6.7266331,7.4191809,5414,3,3,1,0,0,0,0,12,1,1,0,0,0,23.799999,27.889999,172,120,.38017881,1.7784743,.05871379
11119,69,0,4.3307333,0,9200,3,12,0,0,0,2,34,6,1,1,0,0,0,11.87,22.280001,155,140,.12532802,1.4329392,3.9898057
4478,58,1,0,7.8244457,7230,3,6,0,1,1,7,69,12,2,2,0,.24383561,0,31.15,41.369999,170,160,.32159728,1.8307791,6.0318928
8469,49,1,7.4191809,8.5173931,8183,2,6,0,1,0,9,85,9,1,1,0,.01369863,0,24.15,25,158,120,.93216014,1.1345133,6.0907273
2357,46,0,7.4960976,8.3351116,4110,3,2,1,0,1,3,69,12,1,1,.83333331,0,1,43.330002,42.09,157,100,.9117012,1.9256136,5.8815761
13783,64,1,7.4191809,7.4191809,9613,3,2,1,0,0,0,0,6,1,1,0,0,0,13.87,13,168,105,.76491809,1.1640428,3.3787119
2446,54,0,4.8362818,4.8362818,9210,3,11,0,0,0,0,0,6,1,1,0,0,0,11.74,22.16,160,125,.25767574,1.1560593,9.4054356
6897,52,1,8.5173931,8.5173931,7120,3,9,0,0,0,0,0,6,1,1,0,0,.33333334,25.26,32.27,168,120,.010501246,1.0187237,2.5232997
2331,36,0,8.3351116,9.2104406,7543,3,4,1,0,1,8,85,14,3,3,.083333336,.13150685,2,43.189999,38.810001,175,140,.68052858,1.7046633,5.2946038
13159,40,1,8.1120281,8.3351116,2330,3,2,1,0,1,10,85,0,3,3,.83333331,.0054794522,3,82.410004,62.630001,170,140,.23253614,1.5476364,7.2739415
5835,26,1,8.8050251,9.0281391,8342,2,7,0,0,1,8,69,14,2,2,1,0,2.5,24.450001,32,173,200,.79459006,1.3277097,6.9440618
5407,68,1,8.2430191,10.043293,3323,2,4,1,0,1,4,85,9,3,2,1,1,4,56.349998,48.860001,167,132,.43972704,1.2585527,2.8442543
7800,65,1,7.4191809,7.8244457,9210,3,11,0,0,0,0,0,6,1,1,0,0,0,11.74,22.16,160,110,.57746464,1.9352691,.79229438
4106,20,1,7.1316986,8.2297773,9210,3,11,0,0,0,2,40,9,2,2,.41666666,.0054794522,2,11.74,22.16,170,120,.2963441,1.326601,8.2367115
785,76,0,8.0067005,8.9227915,4211,3,2,1,1,1,2,69,6,1,1,0,0,0,48.099998,40.279999,160,91,.72536737,1.4020799,4.2092686
9463,23,1,5.5254531,9.0281391,9333,3,9,0,0,0,4,50,16,2,2,1.6666666,.032876711,5,17.690001,20.299999,176,160,.75863492,1.9269612,4.2913823
13882,39,0,7.4191809,7.4191809,5131,2,6,0,0,1,9,69,9,2,2,0,0,4,25.040001,21.67,160,110,.30169937,1.0704585,3.5896463
5659,70,1,8.3351116,9.0281391,2643,2,3,1,0,1,4,85,14,5,5,2.5,.82191783,2,80.919998,65.660004,173,105,.47005242,1.548802,4.4880419
14089,44,1,8.6715155,8.6715155,5221,3,9,0,0,0,8,85,0,1,1,0,0,2.5,35.34,48,171,138,.89738393,1.9028975,5.3848863
