treat,lninc,gender,age,age2,hukou,fedu,medu,party
1,,0,21,441,1,9,9,0
1,8.5171928,1,25,625,0,6,6,0
0,6.6846118,0,60,3600,1,0,0,0
0,7.6009026,0,35,1225,1,12,12,0
0,8.0063677,0,37,1369,1,14,14,0
0,8.5171928,0,48,2304,1,0,0,0
0,6.9077554,1,45,2025,1,6,6,0
0,6.6200733,1,60,3600,,0,0,0
1,8.0063677,1,57,3249,1,6,0,0
0,7.8240461,1,48,2304,1,0,0,0
0,7.3132205,1,45,2025,1,6,6,0
0,6.856462,0,66,4356,1,0,0,0
0,7.6009026,1,52,2704,1,9,9,0
0,6.6846118,0,46,2116,1,12,6,0
0,6.363028,1,46,2116,1,6,6,0
0,7.6009026,0,48,2304,1,9,6,0
0,6.7093043,1,47,2209,1,6,6,1
0,5.2983174,1,47,2209,1,14,6,0
0,6.5510802,1,61,3721,1,9,6,0
0,7.6009026,0,53,2809,1,6,6,0
0,7.0900769,0,41,1681,1,0,0,0
0,,0,62,3844,1,9,6,0
0,,0,46,2116,1,9,9,0
0,,1,44,1936,1,9,9,0
0,,1,44,1936,1,9,9,0
0,7.0900769,1,55,3025,1,9,6,0
0,,0,50,2500,1,9,6,0
0,,0,42,1764,1,9,9,0
0,,0,46,2116,1,6,6,0
0,7.8240461,0,50,2500,1,9,9,0
1,7.6009026,0,57,3249,1,9,6,1
0,6.9077554,0,50,2500,1,6,6,0
1,7.6009026,0,59,3481,1,16,12,0
0,6.5510802,1,69,4761,1,9,6,1
1,7.0900769,1,62,3844,1,9,6,0
0,6.856462,1,50,2500,1,6,0,0
1,7.0030656,1,66,4356,1,6,0,1
1,7.3132205,0,52,2704,1,6,6,1
0,6.6846118,0,46,2116,1,6,6,0
0,6.9077554,1,34,1156,0,12,6,0
0,6.6846118,0,33,1089,1,9,9,0
0,8.5171928,1,33,1089,1,0,0,0
0,5.9401712,1,57,3249,1,0,0,0
0,8.8536654,0,26,676,1,6,6,0
0,6.6846118,0,63,3969,1,3,6,0
0,6.7322106,0,62,3844,1,0,0,0
0,,0,36,1296,1,0,0,0
0,,0,19,361,0,9,0,0
0,6.6846118,1,49,2401,1,0,0,0
0,6.3969297,0,48,2304,1,0,0,0
0,7.377759,1,54,2916,1,0,0,1
0,5.2983174,0,49,2401,1,9,0,0
1,6.5510802,1,69,4761,1,6,6,1
0,7.6009026,0,22,484,1,12,9,0
0,8.0063677,0,62,3844,1,6,6,0
0,6.5510802,1,48,2304,1,6,6,0
0,6.8023949,1,52,2704,1,9,6,0
1,7.6009026,0,24,576,1,9,9,0
0,6.5510802,1,69,4761,1,6,0,0
0,6.6846118,0,43,1849,1,6,6,
1,7.6009026,0,40,1600,1,9,0,1
0,6.6846118,1,58,3364,1,6,6,1
0,6.6846118,0,38,1444,1,6,6,0
0,5.9914646,0,39,1521,1,9,0,0
0,6.3969297,1,29,841,0,6,6,0
0,6.9077554,1,46,2116,1,9,9,0
0,6.9077554,1,49,2401,1,6,0,1
0,6.5510802,0,53,2809,1,9,6,0
1,7.495542,0,28,784,,9,9,0
1,6.3969297,1,66,4356,1,6,6,0
0,8.2940493,0,31,961,1,9,12,0
1,,1,19,361,1,12,9,0
0,6.8023949,0,68,4624,1,0,0,0
0,7.3132205,0,53,2809,1,0,0,0
